IDX,name,ID,precursorMZ,collisionType,collisionEnergy,productIon,meanMZ,meanIntensity,RSDIntensity,relMeanIntensity,RSDRelMeanIntensity,relIntensity,sdRelIntensity
1,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,CID,0,C22H22N6O4,435.1771616,1790565.445,77.16498184,0.435200158,0.771649818,1,0.335822123
2,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1771851,CID,10,C22H22N6O4,435.1772018,1653168.846,86.88732009,0.391435667,0.868873201,1,0.340107961
3,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,CID,20,C17H14N6O,319.1300352,1433869.438,25.46732964,0.619404856,0.254673296,1,0.157745877
4,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,CID,20,C22H22N6O4,435.1771924,1046072.364,75.85555937,0.451883752,0.758555594,0.729545059,0.342778948
5,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,CID,30,C17H14N6O,319.1299674,1800218.217,77.85566103,0.438589496,0.77855661,1,0.341466751
6,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,CID,40,C17H14N6O,319.1299701,1858042.276,81.89119441,0.450686028,0.818911944,1,0.369072172
7,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1771851,CID,50,C17H14N6O,319.129956,1729324.449,62.20738235,0.509844942,0.622073824,1,0.317161192
8,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1771851,CID,50,C21H22N4O4,393.1590332,469.353607,37.05367281,0.000138376,0.370536728,0.000271409,5.13E-05
9,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,0,C17H14N6O,319.1299599,244316.2026,47.86101449,0.043171886,0.478610145,0.095191077,0.020662503
10,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,0,C22H22N6O4,435.1772493,2566587.23,68.62904891,0.453528711,0.686290489,1,0.311252441
11,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,0,C22H25N3O4,393.1711937,1112.763479,31.49090981,0.000196631,0.314909098,0.000433558,6.19E-05
12,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,HCD,10,C17H14N6O,319.1300505,1988921.797,71.64525178,0.483282787,0.716452518,1,0.34624917
13,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,HCD,10,C22H22N6O4,435.1772954,955876.1849,53.62343311,0.232265797,0.536234331,0.480600186,0.124548894
14,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,HCD,10,C22H25N3O4,393.1711999,1221.575623,22.06177729,0.000296827,0.220617773,0.00061419,6.55E-05
15,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773987,HCD,20,C17H14N6O,319.1300595,2408752.153,88.61981453,0.43496267,0.886198145,1,0.385463112
16,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,30,C17H14N6O,319.1300123,2578141.534,85.00725749,0.393031069,0.850072575,1,0.334104933
17,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1771851,HCD,40,C17H13N5O,302.1036072,89967.58464,35.96132543,0.01791846,0.359613254,0.037411019,0.006443716
18,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1771851,HCD,40,C17H14N6O,319.1300046,2404841.838,72.99410843,0.478962091,0.729941084,1,0.349614108
19,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,50,C16H14N4O,277.1081999,124463.2806,27.85973783,0.033851272,0.278597378,0.061544859,0.009430876
20,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,50,C17H13N5O,302.1035248,425199.2927,45.02829047,0.115644845,0.450282905,0.21025342,0.052072897
21,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1773682,HCD,50,C17H14N6O,319.1300201,2022318.082,63.24811645,0.550025986,0.632481165,1,0.347881076
22,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1774902,HCD,60,C13H12N2,195.0915987,171376.3021,8.189207169,0.101365625,0.081892072,0.189849028,0.008301041
23,dG-C8-4-ABP,TUR-UMN-002.mzML,435.1774902,HCD,60,C13H13N,180.0807738,94490.60156,41.96308551,0.055889284,0.419630855,0.104675785,0.023452868
